,,,,
,,,,
,,,,
,,,,
numBastidor,matricula,marca,modelo,anioMatriculacion
WVWAA7AJ5BW011626,6275KGH,Ford,Lightning,1994
1G6AH5SX4E0942549,3060LBG,Subaru,Impreza,1996
19XFA1E55BE459200,7733NJC,Saab,900,1992
WVWAN7AN4DE189320,6798CFK,Acura,TL,2008
KMHFH4JG5FA008728,7377DDK,MINI,MINI,2002
5NPDH4AE6CH193192,7954KGC,Acura,TL,2008
WAUCVAFR5AA060536,0796BCK,Chevrolet,Cavalier,1998
3GYFNBE3XES984004,1071NLK,Cadillac,CTS,2010
2G4WB55K811941810,0056KLB,Isuzu,Rodeo Sport,2001
3GYFNGE34ES617984,1584NDD,Audi,S4,2002
3D73Y3HL2BG315800,1637KDK,Subaru,Legacy,2006
1G4HE5EM8AU971802,2276DGF,Dodge,Stealth,1996
1FBNE3BL8DD377045,6529HDM,Plymouth,Breeze,1999
1G6AH5R33D0041139,7655FJC,Nissan,Xterra,2002
WBASP4C59AC431534,5324GLG,Nissan,240SX,1992
4T1BF1FK1FU068925,6798NLG,Ford,F150,2008
SAJWJ0EF6E8438097,2032HKK,Land Rover,Range Rover,2001
JH4CU25609C723545,7656HBB,Chrysler,PT Cruiser,2004
WAUEG78E96A780980,9380DJD,Land Rover,Range Rover,1999
WDDGF4HB0EG602508,7894MNG,Nissan,240SX,1996
19VDE3F7XEE729073,6745JGM,Mercedes-Benz,S-Class,1994
4A31K5DF1CE746603,0878HCH,Pontiac,Firebird Formula,1999
KMHTC6AD4EU034916,6186HFN,Nissan,240SX,1993
3C63DRGL5CG514469,7066HMF,Land Rover,Defender,1997
WAUSF78K99A174109,7535FFK,Lexus,ES,2002
3VWML7AJ4DM307857,8580DKN,Maserati,Spyder,2003
WAUBF78E18A878684,6605DHC,Suzuki,XL-7,2007
2T3BF4DV4AW302781,9603FND,Honda,Accord,1990
1FTWW3A57AE049783,8960NFF,Nissan,Maxima,2005
KNAGM4ADXD5076990,4554LCL,Volvo,C30,2013
3GYFNAE38CS268516,3194NJM,Acura,Integra,1995
1G6DD67V790165490,9258DBN,BMW,Alpina B7,2008
SCFEFBBCXAG788318,1270FFD,Mitsubishi,Chariot,1987
5N1AN0NU3EN350407,7587NJK,Nissan,Quest,2000
1N6AA0CCXFN129492,5616HMK,Isuzu,Rodeo,1999
WBAEK73435B352523,6951KFK,Cadillac,CTS,2011
SCFAD02A38G621154,7845FLG,Mazda,Mazda3,2010
WBSWL93588P803650,5250NBG,Rolls-Royce,Phantom,2012
KL4CJGSB9FB252743,2655DND,Toyota,Solara,2005
WBA3D5C52EK921280,3195JGD,Ford,F150,1999
WA1CGCFEXBD515588,6439DHG,GMC,Savana 1500,1996
1G4GD5GD0BF582993,4056LBK,Volkswagen,Touareg,2012
2C3CDXHG1CH081798,7202CHB,Saab,9-3,2004
2C3CDZBT6FH524744,7615GLK,Toyota,Corolla,1994
WAUFFAFL0CN245367,2129DGD,Ford,GT,2005
1D7RE5GK4AS670725,7732CMC,Mercedes-Benz,S-Class,1998
1FAHP2D83EG018734,8492JNC,Dodge,Sprinter,2006
JA32U1FU2BU501057,0588GBB,Ford,Escort ZX2,2003
1FTWF3C50AE779693,6534JCK,Chrysler,Cirrus,2000
WAUAC48H24K752464,2294MDG,Lexus,IS-F,2012
3C4PDCBBXCT261064,7939BGL,Jeep,Patriot,2007
WBADT63482C576637,4805DGF,Pontiac,Vibe,2008
WAUDH94F18N309758,3196HLD,Rolls-Royce,Phantom,2013
WAUBFAFL8DN139863,0758LCH,Chevrolet,Impala,2004
3GYFNEEY7BS218837,6165HMM,Ford,Thunderbird,1977
WBAWC73569E784571,4604CBN,Saturn,Ion,2007
4T1BF1FK6EU664241,3697HFC,GMC,Savana 1500,1998
WA1CGBFE7BD971946,1128HBH,Hummer,H1,1996
WVGEF9BP8ED575882,6952GLK,Ford,E-350 Super Duty Van,2006
5J6TF3H51FL105273,0344JMB,Pontiac,Grand Am,1997
WAUEKBFBXAN661332,2260HDJ,Mazda,626,1996
4T1BF1FK5EU029396,7720JLH,Mazda,Protege5,2003
2C3CCAAG8DH914721,8700HLL,Cadillac,Brougham,1992
1FTMF1C89AK068548,3449DJN,Lincoln,Town Car,1985
WAUAF48H09K937885,7436CLH,Chevrolet,Traverse,2010
WBADS43462G096998,4479NLB,Buick,Hearse,1996
1HGCR2E55FA713001,1483LJB,Saab,9-7X,2006
JN8AZ2KR6ET432314,7252LJJ,Mitsubishi,Galant,2003
JH4CU2F62CC674063,0550KGH,Audi,RS6,2003
JTDZN3EU1FJ983215,7667LBF,Volkswagen,Scirocco,1986
5UXXW3C54F0858133,3846BGC,Mitsubishi,Lancer Evolution,2006
JTHBW1GG7E1683914,0626MCK,Land Rover,Range Rover,2003
JN8AF5MR6BT774283,5658FBK,Porsche,Boxster,1998
WBSDE93403C490893,1554NFN,Pontiac,Grand Am,1988
5N1AA0ND4EN291072,8220GNL,Volvo,S60,2004
WAUAH68D01A048582,0841GDD,Chevrolet,SSR,2005
WBABN53471J877535,3562FJD,Land Rover,Discovery,2010
JN1BY1AR8EM710822,4632FBN,Daewoo,Lanos,1999
WBAYE4C51DD440856,3482HBG,Mercury,Tracer,1997
JN1CV6EK1CM310279,5910HCM,Ford,Escape,2009
4A31K2DF6AE147532,2960JNM,BMW,X5,2009
1N6AA0CA5CN642076,0726DGC,Pontiac,Gemini,1987
4A31K5DF7AE534270,4933HKD,Honda,Civic GX,2003
1G4PT5SV1F4788151,6277LFC,Mitsubishi,Diamante,1994
1FMEU6DE5AU647550,4721DHN,GMC,Savana 3500,2011
2T1KE4EE3BC568760,8450DFN,Dodge,Ram Wagon B150,1994
5N1AR2MM5FC974059,2419BBF,Mitsubishi,Chariot,1986
JN8AZ1FY2BW861701,5418JCC,Dodge,Dakota,2004
2T3BFREV8EW328494,6239FKD,BMW,M,2001
1D4PT5GK5BW258947,0034GJK,GMC,Sonoma,1993
WBA3A9C55EK818287,4530FFL,Buick,Skyhawk,1986
JTJBM7FX1E5839818,9010MHJ,Mitsubishi,Pajero,1994
2HKRM3H3XDH892620,3016DGM,Lexus,LS,2009
1FTEW1E87AK156838,1652HGM,Cadillac,Seville,1995
KMHTC6AD9EU455109,9403NGB,Buick,Skylark,1998
SALCR2BG6FH511465,6633GFM,Chevrolet,Silverado,2008
JN8AS5MTXDW727962,6539GGJ,Toyota,RAV4,1997
WA1WMAFE7FD806484,7592LNK,Mazda,Miata MX-5,1997
1C3CCBHG4CN203650,4912GGJ,Lincoln,MKT,2010
1G6AK5S31F0684782,5384MKC,Isuzu,Oasis,1998
3N1CE2CP7EL555673,0049BKB,Maserati,Spyder,2004
WAULD54BX4N807268,1423KGN,Volvo,XC70,2007
1FTNF1E8XAK852383,8978MLJ,Cadillac,Escalade EXT,2009
KNDPB3A21B7775315,9339JHN,GMC,Savana 2500,2003
WBAEV334X3P470472,3492GJD,Acura,Integra,1993
1N6AF0LX3EN479971,9866DJH,GMC,Sierra 2500,2012
1N6AA0CJ6EN184891,4170DLB,Mazda,Protege,2001
5GAKVDKD4DJ772987,3633KJD,Mitsubishi,Eclipse,1990
JH4CL95995C740666,9464LHN,Honda,Civic,1989
WBALL5C52DE307037,2772LJC,Porsche,Cayman,2011
5J8TB3H54GL005589,6834FMN,Lincoln,Town Car,1988
1GYS3CEF3DR753631,0183FGN,Dodge,Durango,1999
3C6TD5CT9CG112629,3989NGF,BMW,6 Series,2008
KNADH4A33A6276615,2162GFL,Chevrolet,Suburban 2500,2005
WBAUP7C51AV639194,1900DBB,Ford,E-350 Super Duty Van,2006
WBAEV33472K325479,1399NKN,Pontiac,Torrent,2006
1G4HP54K824663699,2255KML,Buick,Riviera,1996
1D4PT2GK1BW675397,7910LJD,Ford,Explorer,2006
2B3CA9CV3AH741411,2723GJB,Ford,Explorer,2006
5XYZT3LB2DG382402,8344BKD,Mazda,Navajo,1993
3VW1K7AJ2EM888055,0693BCN,Chevrolet,Aveo,2005
1FTMF1C87AK517094,3039LGG,Suzuki,Swift,2005
SALWR2VF0FA981094,2425LJG,Lincoln,Continental Mark VII,1992
WAULC68E34A572233,1338CGH,Mazda,Miata MX-5,2001
WP0CA2A86DK161991,5014HJF,Pontiac,6000,1983
1GT01ZCG6EF232312,8648GKH,Oldsmobile,Toronado,1966
5N1BA0NE8FN855787,6419HFD,Toyota,Tercel,1993
ZHWGU5BR7EL083077,5897LKD,Subaru,Tribeca,2011
1J4NF1FB0BD943207,9915NHD,Ford,E-Series,1990
4A31K3DT0AE809620,0913DMH,Audi,S4,2004
19VDE1F34EE887846,7106NHJ,Volkswagen,GTI,1985
5J8TB3H5XFL622378,5484NNL,Hyundai,Elantra,2001
WBAVL1C59FV717435,7040BBJ,Buick,Century,1993
SCBBP9ZA6DC688162,5225CLG,Lincoln,Continental,1986
3D7TT2HT6BG929855,7174LJF,Land Rover,Freelander,2005
JHMZF1D41ES354869,0881JDJ,Mitsubishi,Montero,2001
WAUGL78E47A066003,4840DMM,GMC,Safari,1998
3FA6P0SU8FR244838,1950FLG,Mazda,B2600,1989
KMHTC6AD9DU600938,0824HGK,Pontiac,Bonneville,2001
2HNYD2H84DH610119,7276JBM,Dodge,Durango,2002
2G4WC582661586118,1880HDL,Ford,F150,2003
3D73M4HL1BG848738,5894NCM,Dodge,Spirit,1992
4A31K2DF5AE815112,8046FFH,Chevrolet,Traverse,2011
WAUJT64B04N892606,5064DGC,Oldsmobile,Ciera,1993
5N1AR2MM9FC705563,9191GKB,Mercury,Tracer,1994
1N6AA0CC5AN998557,9702NNK,Cadillac,SRX,2009
5LMJJ3H52BE829962,2222NMJ,GMC,Savana 2500,2003
SCFEBBDL5EG844096,1004FNM,Mitsubishi,Eclipse,2004
KMHHT6KD3AU901849,3293FKF,Jaguar,XF,2011
JM1NC2LF7E0369115,8469CJK,Saturn,Ion,2004
5FRYD4H27GB591393,9698FFK,Mitsubishi,Eclipse,1996
TRURD38J291323702,5723LNL,Audi,A8,2003
JM3KE2BE7F0006800,6036MGH,Land Rover,Range Rover,2001
WAUMFAFLXBN305791,7109CCF,Audi,80,1992
WAUEKAFB3AN803398,1905GMC,Volkswagen,Cabriolet,1988
2C4RDGEGXFR486454,5508DFJ,Dodge,Durango,2007
WAUPEAFM0CA882945,6286GGH,Lincoln,MKS,2010
5GAKRBED5BJ969958,1445CKG,Nissan,Murano,2009
2T1KU4EE8BC899076,2478HHB,Dodge,D350 Club,1992
1C3CDFBB2ED256552,1940JGK,Mercedes-Benz,SL-Class,1998
WAUUL68E85A160587,7787MNH,Mazda,B-Series Plus,1998
3GYEK63N42G517837,2179CKM,BMW,Z8,2003
WAUSH94F78N875107,1082KHG,Ford,Escape,2012
WAUSH78E58A327023,0461GGF,Ford,Bronco,1996
SCFFDCBD7BG365237,9173CLD,Mercedes-Benz,S-Class,1998
WAUDFAFL7BN241709,0087JNJ,Volvo,940,1994
SCFAD01A18G949108,1853NHJ,Dodge,Intrepid,2000
WBA3V5C54EJ789075,0901FCL,Nissan,Rogue,2012
YV1960BW2A1657850,0435MJJ,GMC,Sierra 1500,2000
WBANW1C59AC092207,8156BHH,Mercury,Mountaineer,2008
WBAXG5C59DD465466,1932FDK,GMC,Yukon,2009
WAUDH78E78A163864,4181JGJ,Mazda,929,1988
WAUMGAFL5CA247448,5962NFN,Nissan,Frontier,2011
1D7RV1CT5BS362276,2782HNH,Isuzu,Rodeo,1999
3C63D3ML1CG345102,8764FKM,Ford,Escort,1995
JTDKDTB32E1984453,3564DKB,Toyota,4Runner,1998
JN8AF5MR0CT825648,1038JGL,Buick,Riviera,1990
1GTN1UEH8FZ878434,8488CGL,Geo,Metro,1996
WA1DGBFE3DD082083,8950KCG,Nissan,Altima,2004
2HNYD18651H907095,1964LKH,Mitsubishi,RVR,1994
JN1AZ4EH7CM993710,2430CMG,Hyundai,Genesis,2011
3N1AB6APXAL823569,6817JGF,Toyota,Previa,1997
5UXFG2C52DL161574,4554DFB,Honda,Pilot,2006
WUAUUAFG5EN573487,8017GFC,GMC,Envoy XUV,2005
WAU3GAFRXEA318470,8150FKL,Mitsubishi,Galant,1985
WBANV1C52AC920696,6702HDC,Toyota,Camry,2009
WA1CV74L67D715535,6439HFG,Chevrolet,Corvair,1960
KMHTC6AD7DU128884,2401JCC,Jaguar,XJ,2009
3N1CN7AP8FL141223,4738FMK,Mercedes-Benz,S-Class,2004
WBADT33492G744440,7491KCN,Chrysler,Town & Country,2004
WAUFFAFL8CN425728,0819CJC,Pontiac,Firefly,1987
TRUUT28N521794730,3011BFM,Chrysler,Concorde,2001
3D7TT2CT9BG144592,2626BMD,Mercedes-Benz,M-Class,2003
2D4RN3DG0BR296926,2627MBG,Dodge,Intrepid,1999
1FTWW3B59AE419744,8519JHJ,Toyota,Avalon,2008
WBAYB6C50DC756517,2029NFJ,Lincoln,Town Car,1994
KNAFX5A84E5549800,4486JGB,Mazda,MX-6,1995
WVWGU7AN9CE418389,2619BGB,Maserati,430,1989
WDDNG9FB4CA430603,9819HMH,Buick,Rainier,2005
SALVN2BG9EH246611,7311LLK,GMC,Vandura 2500,1993
1FTEX1C80AF837996,2690GJG,Chevrolet,Camaro,2001
5J8TB4H59DL961247,6306DJM,Oldsmobile,Bravada,1993
2C3CA9CT6AH018332,6129DLL,Lamborghini,Countach,1987
WBA3D5C59FK873312,1101NJD,Suzuki,Esteem,1997
5N1AR1NB8AC350305,3519FCM,Oldsmobile,Bravada,2000
KM8JT3AF8EU767655,3672JDG,Volvo,V40,2002
1N4AA5AP1EC734376,9716DCB,Ford,Mustang,1986
SCBLC37F26C885277,1551HNB,Ford,Focus,2010
1N6AF0LY1EN191956,9312CFM,Ford,LTD Crown Victoria,1991
WBAAV53431J668840,8066NKN,Ford,Focus,2004
3D4PH6FG3BT104182,5652CHH,BMW,7 Series,2004
1ZVBP8JS4C5982431,5807DFM,Ford,Thunderbird,1972
1G4PN5SK4C4620743,6668HGK,Ford,Explorer,1992
SCFAB423X2K123942,3446KJG,Kia,Rondo,2007
1G6DP577370449246,6713BJG,Mercedes-Benz,600SL,1993
19UUA9F56CA295076,1144FMG,GMC,Suburban 1500,1999
1GYFK43878R438965,7788DNM,Ford,Taurus,2000
WBABS33463P139111,9332HGL,Mazda,RX-7,1984
1D7RV1GP6BS204798,3029CMM,Chevrolet,Suburban,2011
YV4852CZ0A1634900,4940NLM,Mercedes-Benz,SL-Class,2008
SCFHDDAJ5AA164721,2997DKL,Volvo,C30,2009
1G4HE57Y06U003829,2284MHH,Mazda,Mazda6 5-Door,2006
JN1CV6AP8BM401629,6822CFH,Lincoln,Continental,1992
WAUEG98E56A872955,9947LJD,Citroën,2CV,1948
5TDBW5G10AS416633,2555HDK,Ford,F-Series Super Duty,2008
JN1CV6FE9AM592743,7192DJG,Ford,F150,2007
WAUWGAFC7FN430372,2729BBK,Pontiac,Grand Prix,1978
1D7RW3GK2AS104161,3808JBH,Mercedes-Benz,CLS-Class,2006
3VW4A7AT0DM887275,5972MLJ,Chevrolet,Corvette,1955
WBXPC934X7W385585,7725DJB,Subaru,Impreza,1993
WAUEFAFL6FA499690,6512JFD,Chevrolet,HHR,2006
TRUUT28N221618900,8862JJM,Nissan,Quest,1995
19UUA65596A933678,1773HBC,Lincoln,Mark VIII,1995
KNDJT2A50C7531695,4841NNH,Plymouth,Prowler,2000
2G4GR5GXXF9070054,7120HBM,Plymouth,Acclaim,1994
5J6YH1H35BL997217,8078CBJ,Morgan,Aero 8,2007
1G4GD5GR4CF036386,1454FMH,Jeep,Compass,2009
WVWAB7AJXDW149906,1625FFL,Buick,Hearse,1996
4T1BF3EK4BU346837,2703CBN,Jeep,Cherokee,1992
WAUEF98E98A335009,6907HJF,Toyota,Land Cruiser,2013
WBA3T3C58EP413079,2815DLF,Mitsubishi,Diamante,1998
1GYS3EEJ4DR085287,7286BFK,Mitsubishi,Lancer,2004
JN8AE2KP6D9962112,7253CJF,Dodge,Ram,1994
1ZVBP8JZXD5465276,7716BFC,Ford,Crown Victoria,2005
1FMCU5K36AK787802,2828BDG,Ford,Thunderbird,2002
JN8AE2KP4F9993393,6230MNG,GMC,Jimmy,1995
1D7RW3GK3AS418918,1790LFL,Ford,E250,2004
SCBFC7ZA4DC426061,3327NGJ,Toyota,4Runner,2006
WAUCVAFR4AA542821,9566CGB,Isuzu,VehiCROSS,2001
5GALVAED6AJ062659,1648FBJ,Toyota,Paseo,1993
3C6TD4HT6CG861617,0249JHL,Chevrolet,Astro,2001
KMHGH4JH6FU895297,4213LJH,Chevrolet,Colorado,2005
1GKS1FFJ0BR044723,0763HCG,Kia,Sportage,2010
3MZBM1K70FM417800,2361NJH,BMW,X5,2012
JM1GJ1U53F1668093,4067KMK,Dodge,Viper,2010
1FTWW3CY6AE122875,0532GGH,Dodge,Nitro,2008
1G6KD57Y69U608622,9146CCN,Plymouth,Breeze,1998
WAUEFBFLXBN774941,2810MLD,Isuzu,Rodeo,2004
JM1NC2LF9E0772657,2055MMN,Nissan,Xterra,2001
2C3CDYBT7CH383351,8855GDF,Buick,LaCrosse,2011
1G6KD57Y36U178852,0347JFH,Chrysler,PT Cruiser,2003
KMHTC6AD2DU364018,4308FJB,Nissan,Quest,1998
5GAKVAEDXBJ169470,9126GDK,Kia,Optima,2007
WBAWL13579P690457,8843LLF,Volkswagen,Fox,1990
JN1AZ4EH2FM505171,4237JDH,Mitsubishi,Starion,1987
WAUEG98E66A037205,0414JDJ,Nissan,Maxima,2010
5TDBKRFH5ES420586,1761KCN,Cadillac,DTS,2007
1FMJK2A58AE244058,4329JBL,Dodge,Dakota,2005
3TMJU4GN5CM256248,3950HHJ,Lamborghini,Diablo,1991
WBAUC9C58DV515922,9581DCJ,Lexus,RX,2003
3VW1K7AJ7DM832000,2268KGJ,Lotus,Elan,1990
WAUDK78T18A382139,9292KGM,Pontiac,Grand Prix,1973
WVWED7AJ8AW262275,3970HHK,Volkswagen,GTI,1988
WAUFFAFL6EN998520,1419CJH,Audi,TT,2009
KNAGM4AD4B5219624,4628BKK,Honda,Odyssey,2012
1G6AW5SXXE0066480,7909HJB,Mitsubishi,Truck,1985
2C3CDXHG2EH855849,6843FFH,Mercedes-Benz,S-Class,1984
WAUSH94F27N650544,0233NGK,Mercedes-Benz,SLK-Class,2001
19UUA9F72DA007881,2403JGN,Lotus,Exige,2010
1GD11ZCG7BF577196,5475LKG,Volkswagen,Golf,1976
1G6DK5EV6A0100900,8998GBG,Ford,Explorer Sport,2000
2T1BU4EE2BC443820,8397MGB,GMC,Safari,2004
1G6DW677870517632,9388HGM,Chrysler,300M,2002
SCBLE37G43C869225,7034HGK,Toyota,Corolla,2001
1FTEW1C83AF549473,0846CMB,Ford,E-Series,1987
2HNYD18873H524022,8751CDC,Toyota,Celica,2003
3N1CN7AP2DL411981,9165MBC,Ford,Crown Victoria,1992
2G4WD582981897588,9565MHJ,Chevrolet,Express 3500,2010
1VWAS7A31FC399876,9993DKN,Maserati,Quattroporte,2005
WAUUL98E68A657921,7986MGJ,Lexus,RX,2003
5GAKRAED6BJ477580,1793DGF,Acura,NSX,2000
WVGAV7AX5BW055338,0630BKN,Mercury,Grand Marquis,1993
KL4CJCSB0DB828824,7639CDH,Jeep,Cherokee,1995
1G4HR54K65U159411,4232BNM,Kia,Sportage,2002
1N6AA0EC0DN902755,1490JBM,Ford,Mustang,2007
WAUKG78E55A574170,7348BBG,Lincoln,Town Car,2009
1FMJK1H55CE731513,9205FFG,Honda,Civic,1980
JH4DC53863S655620,4450HFB,Mercury,Cougar,1992
WA1DVBFE6AD957688,3162DCB,GMC,Yukon XL 2500,2010
KNADM5A39E6446239,0532HLJ,Ford,Club Wagon,1998
JN8CS1MU9EM940294,1052KJN,Infiniti,G25,2011
KMHGH4JF9BU449783,0282HKK,Volkswagen,GTI,1996
WBA3B3G55FN862181,0881HKN,BMW,X6,2010
